"ticker","company_name","sector","industry"
"ABB.NS","ABB India Ltd.","Industrials","Capital Goods"
"ADANIENSOL.NS","Adani Energy Solutions Ltd.","Utilities","Power"
"ADANIENT.NS","Adani Enterprises Ltd.","Materials","Metals & Mining"
"ADANIGREEN.NS","Adani Green Energy Ltd.","Utilities","Power"
"ADANIPORTS.NS","Adani Ports and Special Economic Zone Ltd.","Industrials","Services"
"ADANIPOWER.NS","Adani Power Ltd.","Utilities","Power"
"AMBUJACEM.NS","Ambuja Cements Ltd.","Materials","Construction Materials"
"APOLLOHOSP.NS","Apollo Hospitals Enterprise Ltd.","Healthcare","Healthcare"
"ASIANPAINT.NS","Asian Paints Ltd.","Consumer Cyclical","Consumer Durables"
"DMART.NS","Avenue Supermarts Ltd.","Consumer Cyclical","Consumer Services"
"AXISBANK.NS","Axis Bank Ltd.","Financial Services","Financial Services"
"BAJAJ-AUTO.NS","Bajaj Auto Ltd.","Consumer Cyclical","Automobile and Auto Components"
"BAJFINANCE.NS","Bajaj Finance Ltd.","Financial Services","Financial Services"
"BAJAJFINSV.NS","Bajaj Finserv Ltd.","Financial Services","Financial Services"
"BAJAJHLDNG.NS","Bajaj Holdings & Investment Ltd.","Financial Services","Financial Services"
"BANKBARODA.NS","Bank of Baroda","Financial Services","Financial Services"
"BEL.NS","Bharat Electronics Ltd.","Industrials","Capital Goods"
"BPCL.NS","Bharat Petroleum Corporation Ltd.","Energy","Oil Gas & Consumable Fuels"
"BHARTIARTL.NS","Bharti Airtel Ltd.","Communication Services","Telecommunication"
"BOSCHLTD.NS","Bosch Ltd.","Consumer Cyclical","Automobile and Auto Components"
"BRITANNIA.NS","Britannia Industries Ltd.","Consumer Defensive","Fast Moving Consumer Goods"
"CGPOWER.NS","CG Power and Industrial Solutions Ltd.","Industrials","Capital Goods"
"CANBK.NS","Canara Bank","Financial Services","Financial Services"
"CHOLAFIN.NS","Cholamandalam Investment and Finance Company Ltd.","Financial Services","Financial Services"
"CIPLA.NS","Cipla Ltd.","Healthcare","Healthcare"
"COALINDIA.NS","Coal India Ltd.","Energy","Oil Gas & Consumable Fuels"
"CUMMINSIND.NS","Cummins India Ltd.","Industrials","Capital Goods"
"DLF.NS","DLF Ltd.","Real Estate","Realty"
"DIVISLAB.NS","Divi's Laboratories Ltd.","Healthcare","Healthcare"
"DRREDDY.NS","Dr. Reddy's Laboratories Ltd.","Healthcare","Healthcare"
"DUMMYVEDL1.NS","Dummy Vedanta Ltd. 1","Materials","Metals & Mining"
