"ticker","company_name","sector","industry","market_cap_category"
"20MICRONS.NS","20 Microns Limited","Other","Other","Other"
"21STCENMGM.NS","21st Century Management Services Limited","Other","Other","Other"
"360ONE.NS","360 ONE WAM LIMITED","Financial Services","Financial Services","Mid Cap"
"3BBLACKBIO.NS","3B Blackbio Dx Limited","Other","Other","Other"
"3IINFOLTD.NS","3i Infotech Limited","Other","Other","Other"
"3MINDIA.NS","3M India Limited","Industrials","Diversified","Mid Cap"
"3PLAND.NS","3P Land Holdings Limited","Other","Other","Other"
"5PAISA.NS","5Paisa Capital Limited","Other","Other","Other"
"63MOONS.NS","63 moons technologies limited","Other","Other","Other"
"A2ZINFRA.NS","A2Z Infra Engineering Limited","Other","Other","Other"
"AAATECH.NS","AAA Technologies Limited","Other","Other","Other"
"AADHARHFC.NS","Aadhar Housing Finance Limited","Financial Services","Financial Services","Small Cap"
"AARNAV.NS","Aarnav Fashions Limited","Other","Other","Other"
"AARON.NS","Aaron Industries Limited","Other","Other","Other"
"AARTECH.NS","Aartech Solonics Limited","Other","Other","Other"
"AARTIDRUGS.NS","Aarti Drugs Limited","Other","Other","Other"
"AARTIIND.NS","Aarti Industries Limited","Materials","Chemicals","Small Cap"
"AARTIPHARM.NS","Aarti Pharmalabs Limited","Other","Other","Other"
"AARTISURF.NS","Aarti Surfactants Limited","Other","Other","Other"
"AARVI.NS","Aarvi Encon Limited","Other","Other","Other"
"AAVAS.NS","Aavas Financiers Limited","Financial Services","Financial Services","Small Cap"
"ABB.NS","ABB India Limited","Industrials","Capital Goods","Large Cap"
"ABBOTINDIA.NS","Abbott India Limited","Healthcare","Healthcare","Mid Cap"
"ABCAPITAL.NS","Aditya Birla Capital Limited","Financial Services","Financial Services","Mid Cap"
"ABCOTS.NS","A B Cotspin India Limited","Other","Other","Other"
"ABDL.NS","Allied Blenders and Distillers Limited","Consumer Defensive","Fast Moving Consumer Goods","Small Cap"
"ABFRL.NS","Aditya Birla Fashion and Retail Limited","Consumer Cyclical","Consumer Services","Small Cap"
"ABINFRA.NS","A B Infrabuild Limited","Other","Other","Other"
"ABLBL.NS","Aditya Birla Lifestyle Brands Limited","Consumer Cyclical","Consumer Services","Small Cap"
"ABMINTLLTD.NS","ABM International Limited","Other","Other","Other"
"ABMKNO.NS","ABM Knowledgeware Limited","Other","Other","Other"
"ABREL.NS","Aditya Birla Real Estate Limited","Real Estate","Realty","Small Cap"
"ABSLAMC.NS","Aditya Birla Sun Life AMC Limited","Financial Services","Financial Services","Small Cap"
"ACC.NS","ACC Limited","Materials","Construction Materials","Mid Cap"
"ACCELYA.NS","Accelya Solutions India Limited","Other","Other","Other"
"ACCURACY.NS","Accuracy Shipping Limited","Other","Other","Other"
"ACE.NS","Action Construction Equipment Limited","Industrials","Capital Goods","Small Cap"
"ACEINTEG.NS","Ace Integrated Solutions Limited","Other","Other","Other"
"ACI.NS","Archean Chemical Industries Limited","Other","Other","Other"
"ACL.NS","Andhra Cements Limited","Other","Other","Other"
"ACMESOLAR.NS","Acme Solar Holdings Limited","Utilities","Power","Small Cap"
"ACSTECH.NS","ACS Technologies Limited","Other","Other","Other"
"ACUTAAS.NS","Acutaas Chemicals Limited","Healthcare","Healthcare","Small Cap"
"ADANIENSOL.NS","Adani Energy Solutions Limited","Utilities","Power","Large Cap"
"ADANIENT.NS","Adani Enterprises Limited","Materials","Metals & Mining","Large Cap"
"ADANIGREEN.NS","Adani Green Energy Limited","Utilities","Power","Large Cap"
"ADANIPORTS.NS","Adani Ports and Special Economic Zone Limited","Industrials","Services","Large Cap"
"ADANIPOWER.NS","Adani Power Limited","Utilities","Power","Large Cap"
"ADFFOODS.NS","ADF Foods Limited","Other","Other","Other"
"ADL.NS","Archidply Decor Limited","Other","Other","Other"
"ADOR.NS","Ador Welding Limited","Other","Other","Other"
"ADROITINFO.NS","Adroit Infotech Limited","Other","Other","Other"
"ADSL.NS","Allied Digital Services Limited","Other","Other","Other"
"ADVAIT.NS","Advait Energy Transitions Limited","Other","Other","Other"
"ADVANCE.NS","Advance Agrolife Limited","Other","Other","Other"
"ADVANIHOTR.NS","Advani Hotels & Resorts (India) Limited","Other","Other","Other"
